house_title,location,emi,price,bathroom,parking,localityTruncated,propertyType,state,typeDesc,propertySize
3 BHK Flat  In Msr Queenstown Swimmimg Pool For Sale  In Chinchwad,Chinchwad,1.03 Lacs/Month,18000000,3,FOUR_WHEELER,Chinchwad,BUY,READY,3 BHK,1475
2 BHK Flat  In Renuka Dreams For Sale  In Renuka Dreams,Renuka Dreams,"31,522/Month",5500000,1,FOUR_WHEELER,Renuka Dreams,BUY,READY,2 BHK,750
2 BHK Flat  In Aishwaryam  Venture For Sale  In Chinchwad,Chinchwad,"38,400/Month",6700000,2,BOTH,Chinchwad,BUY,READY,2 BHK,815
2 BHK Flat  In Aishwaryam  Venture For Sale  In Chinchwad,Chinchwad,"38,400/Month",6700000,2,BOTH,Chinchwad,BUY,READY,2 BHK,815
1 BHK Flat  For Sale  In Chinchwad Station,Chinchwad Station,"16,334/Month",2850000,1,TWO_WHEELER,Chinchwad Station,BUY,READY,1 BHK,550
2 BHK Flat  In Dhruv Siddhi Housing Society For Sale  In Dhruv Siddhi,Dhruv Siddhi,"49,290/Month",8600000,2,BOTH,Dhruv Siddhi,BUY,READY,2 BHK,1242
2 BHK Flat  In Nba Dhruv Siddhi For Sale  In Ravet,Ravet,"48,717/Month",8500000,2,BOTH,Ravet,BUY,READY,2 BHK,1242
1 RK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"14,328/Month",2500000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,1 RK,350
"2 BHK Flat  In Runwal The Central Park, Pune For Sale  In Pune",Pune,"51,583/Month",9000000,2,BOTH,Pune,BUY,READY,2 BHK,650
1 BHK Flat  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"17,767/Month",3100000,1,NONE,Pimpri-Chinchwad,BUY,READY,1 BHK,550
2 BHK Flat  In Pragati Palace Apartment For Sale  In Nigdi,Nigdi,"38,973/Month",6800000,2,FOUR_WHEELER,Nigdi,BUY,READY,2 BHK,768
1 BHK Flat  In Kakde Park For Sale  In Chinchwad,Chinchwad,"27,510/Month",4800000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,635
1 BHK Flat  In Ganesh Apartment For Sale  In Chinchwad,Chinchwad,"25,791/Month",4500000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,550
3 BHK Flat  In Empire Square For Sale  In Chinchwad,Chinchwad,1.2 Lacs/Month,21000000,3,BOTH,Chinchwad,BUY,READY,3 BHK,1660
2 BHK Flat  In Himgouri Society For Sale  In Nigdi,Nigdi,"16,048/Month",2800000,1,TWO_WHEELER,Nigdi,BUY,READY,2 BHK,800
2 BHK Flat  In Krushna Kunj For Sale  In D.y. Patil College,D.Y. Patil College,"31,522/Month",5500000,2,BOTH,D.Y. Patil College,BUY,READY,2 BHK,1280
2 BHK Flat  In Gerija Complex For Sale  In Chinchwad Gaon,Chinchwad Gaon,"25,791/Month",4500000,2,TWO_WHEELER,Chinchwad Gaon,BUY,READY,2 BHK,850
1 BHK Flat  In Ronak Residency For Sale  In Chinchwad,Chinchwad,"18,913/Month",3300000,2,BOTH,Chinchwad,BUY,READY,1 BHK,550
1 BHK Flat  In Gmc Ganga Apartment For Sale  In Purna Nagar Complex,Purna Nagar Complex,"25,791/Month",4500000,1,FOUR_WHEELER,Purna Nagar Complex,BUY,READY,1 BHK,640
2 BHK House  For Sale  In Chinchwad,Chinchwad,"28,657/Month",5000000,2,TWO_WHEELER,Chinchwad,BUY,READY,2 BHK,1270
4+ BHK Flat  For Sale  In Nigdi,Nigdi,"83,106/Month",14500000,5,BOTH,Nigdi,BUY,READY,4+ BHK,2500
2 BHK Flat  In Elegant Residancy For Sale  In Nigdi,Nigdi,"41,266/Month",7200000,2,NONE,Nigdi,BUY,READY,2 BHK,865
"1 BHK Flat  In Dhruvadarshan Housing Society For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","25,218/Month",4400000,1,TWO_WHEELER,"Pimpri-Chinchwad,",BUY,READY,1 BHK,586
1 BHK Flat  In Sree Mangal Siddhivinayak Nagari For Sale  In Nigdi,Nigdi,"14,901/Month",2600000,1,TWO_WHEELER,Nigdi,BUY,READY,1 BHK,560
"2 BHK Flat  In Larigaliya Apartement For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","65,911/Month",11500000,2,BOTH,"Pimpri-Chinchwad,",BUY,READY,2 BHK,1200
1 BHK Flat  In Ronak Residency For Sale  In Chinchwad,Chinchwad,"18,340/Month",3200000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,588
1 BHK Flat  In Tushar Appartment For Sale  In Chinchwad,Chinchwad,"20,060/Month",3500000,1,BOTH,Chinchwad,BUY,READY,1 BHK,600
1 RK Flat  In Tukai Hight Sairaj Colony Bijali Nagar For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"8,597/Month",1500000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,1 RK,375
2 BHK Flat  In Abc Courtyard 15 For Sale  In Courtyard 15,Courtyard 15,"41,266/Month",7200000,2,FOUR_WHEELER,Courtyard 15,BUY,READY,2 BHK,1075
2 BHK Flat  In Abc Courtyard 15 For Sale  In Courtyard 15,Courtyard 15,"41,266/Month",7200000,2,FOUR_WHEELER,Courtyard 15,BUY,READY,2 BHK,1075
"1 BHK Flat  In Shriram Hights For Sale  In Ganpati Mandir, Akurdi Gaothan, Vivek Nagar, Akurdi, Pimpri-chinchwad, Maharashtra, India","Ganpati Mandir, Akurdi Gaothan, Vivek Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra, India","19,486/Month",3400000,1,TWO_WHEELER,"Ganpati Mandir, Akurdi Gaot...",BUY,READY,1 BHK,630
1 BHK Flat  In Preetam Prakash Garden For Sale  In Chinchwad,Chinchwad,"20,060/Month",3500000,1,BOTH,Chinchwad,BUY,READY,1 BHK,552
3 BHK House  For Sale  In Chinchwad,Chinchwad,"65,911/Month",11500000,2,TWO_WHEELER,Chinchwad,BUY,READY,3 BHK,1233
1 RK Flat  In Sai Vastu  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"8,024/Month",1400000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,1 RK,400
1 BHK Flat  In Rutugandh Society For Sale  In Akurdi Railway Station,Akurdi Railway Station,"24,072/Month",4200000,1,BOTH,Akurdi Railway Station,BUY,READY,1 BHK,550
2 BHK Flat  In S-vijay Housing Society For Sale  In Akurdi,Akurdi,"34,388/Month",6000000,1,FOUR_WHEELER,Akurdi,BUY,READY,2 BHK,1050
1 BHK Flat  In Yashvijay Apartment For Sale  In Pimpri-chindwad,pimpri-chindwad,"21,206/Month",3700000,1,BOTH,pimpri-chindwad,BUY,READY,1 BHK,450
2 BHK In Apartment For Sale  In Hdfc Colony,hdfc colony,"37,254/Month",6500000,2,BOTH,hdfc colony,BUY,READY,2 BHK,900
1 BHK Flat  In Mdm Sonawane Plaza For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"20,060/Month",3500000,1,TWO_WHEELER,Pimpri Chinchwad,BUY,READY,1 BHK,550
2 BHK Flat  In Morya Padmankur Apartment For Sale  In Akurdi,Akurdi,"29,803/Month",5200000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,980
3 BHK Flat  In Aishwaryam Venture For Sale  In  Pimpri-chinchwad, Pimpri-Chinchwad,"45,851/Month",8000000,2,BOTH, Pimpri-Chinchwad,BUY,READY,3 BHK,1250
2 BHK Flat  In Bhakti Desai Heights For Sale  In Akurdi,Akurdi,"28,084/Month",4900000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,650
2 BHK Flat  In Gayatri Villa For Sale  In Nigdi,Nigdi,"54,448/Month",9500000,2,BOTH,Nigdi,BUY,READY,2 BHK,1100
1 BHK Flat  In Sonigara Township For Sale  In Sonigara Township Chinchwad,Sonigara Township Chinchwad,"30,949/Month",5400000,1,TWO_WHEELER,Sonigara Township Chinchwad,BUY,READY,1 BHK,723
"1 BHK In High Bliss Housing Cooperative Society, Rajyog Colony, Walhekarwadi Pune For Sale  In Akurdi Railway Station",Akurdi Railway Station,"26,937/Month",4700000,1,BOTH,Akurdi Railway Station,BUY,READY,1 BHK,674
2 BHK Flat  In Goyal Garima For Sale  In Chinchwad,Chinchwad,"41,266/Month",7200000,2,NONE,Chinchwad,BUY,READY,2 BHK,950
2 BHK House  For Sale  In Akurdi,Akurdi,"25,791/Month",4500000,1,TWO_WHEELER,Akurdi,BUY,READY,2 BHK,400
3 BHK House  For Sale  In Cms English Medium High School,CMS English Medium High School,"91,703/Month",16000000,3,TWO_WHEELER,CMS English Medium High School,BUY,READY,3 BHK,1300
1 BHK Flat  In Sai Society For Sale  In Chinchwad,Chinchwad,"24,072/Month",4200000,2,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,530
2 BHK Flat  In Vishwas Garden For Sale  In  Pimpri-chinchwad, Pimpri-Chinchwad,"31,522/Month",5500000,2,BOTH, Pimpri-Chinchwad,BUY,READY,2 BHK,765
1 BHK Flat  In Prashant Residency For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"27,510/Month",4800000,1,BOTH,Pimpri-Chinchwad,BUY,READY,1 BHK,710
"3 BHK Flat  In Eligant Society  For Sale  In Pimpri-chinchwad, ","Pimpri-Chinchwad, ","41,266/Month",7200000,3,BOTH,"Pimpri-Chinchwad, ",BUY,READY,3 BHK,1100
3 BHK Flat  For Sale  In Nigdi,Nigdi,"96,861/Month",16900000,3,FOUR_WHEELER,Nigdi,BUY,READY,3 BHK,1460
2 BHK Flat  In Kute Arcade Apartment For Sale  In Akurdi,Akurdi,"34,388/Month",6000000,2,BOTH,Akurdi,BUY,READY,2 BHK,940
1 BHK Flat  In Aboli For Sale  In Chinchwad,Chinchwad,"12,322/Month",2150000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,600
1 BHK Flat  In Aboli For Sale  In Chinchwad,Chinchwad,"12,322/Month",2150000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,600
2 BHK Flat  In Goyal Darshan Nagari For Sale  In Chinchwad,Chinchwad,"31,522/Month",5500000,1,BOTH,Chinchwad,BUY,READY,2 BHK,600
2 BHK Flat  In Shree Venkateshwara Royal Rohana For Sale  In Royal Rohana,Royal Rohana,"45,851/Month",8000000,2,FOUR_WHEELER,Royal Rohana,BUY,READY,2 BHK,1077
2 BHK Flat  In Parva Plaza For Sale  In Chinchwad Gaon,Chinchwad Gaon,"31,522/Month",5500000,1,TWO_WHEELER,Chinchwad Gaon,BUY,READY,2 BHK,815
2 BHK Flat  In Aishwaryam Akurdi For Sale  In Chinchwad,Chinchwad,"45,851/Month",8000000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1080
2 BHK Flat  In Rachana Apartment For Sale  In Daund,Daund,"31,522/Month",5500000,1,TWO_WHEELER,Daund,BUY,READY,2 BHK,700
2 BHK Flat  In Aishwaryam Ventures For Sale  In Akurdi,Akurdi,"42,985/Month",7500000,2,FOUR_WHEELER,Akurdi,BUY,READY,2 BHK,850
3 BHK Flat  In Pristine Shatrunjay For Sale  In Pristine Shatrunjay,Pristine Shatrunjay,"88,837/Month",15500000,3,FOUR_WHEELER,Pristine Shatrunjay,BUY,READY,3 BHK,1590
2 BHK Flat  In Rail Vihar Chs For Sale  In Akrudi,Akrudi,"25,791/Month",4500000,1,BOTH,Akrudi,BUY,READY,2 BHK,750
"2 BHK Flat  For Sale  In Krishna Nagar, Chinchwad","Krishna Nagar, Chinchwad","57,314/Month",10000000,2,FOUR_WHEELER,"Krishna Nagar, Chinchwad",BUY,READY,2 BHK,900
2 BHK Flat  In Aranyam For Sale  In Chinchwad,Chinchwad,"30,376/Month",5300000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,820
1 BHK Flat  In Anant Apartments For Sale  In Chinchwad,Chinchwad,"18,168/Month",3170000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,500
1 BHK Flat  In Nivrutti Walhekar Heights  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"18,913/Month",3300000,1,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,1 BHK,530
2 BHK Flat  For Sale  In Chikhali Cdc,Chikhali CDC,"37,254/Month",6500000,1,FOUR_WHEELER,Chikhali CDC,BUY,READY,2 BHK,820
1 BHK Flat  In Maitri Park For Sale  In Akurdi,Akurdi,"18,340/Month",3200000,1,FOUR_WHEELER,Akurdi,BUY,READY,1 BHK,600
2 BHK Flat  In Krushna Kunj Housing Society For Sale  In Nigdi,Nigdi,"30,949/Month",5400000,2,BOTH,Nigdi,BUY,READY,2 BHK,850
1 BHK Flat  In Shree Apartment For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"22,925/Month",4000000,1,BOTH,Pimpri-Chinchwad,BUY,READY,1 BHK,575
2 BHK Flat  In Parsvnath Pratishtha For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"51,583/Month",9000000,2,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,1070
"2 BHK Flat  In Dhiraj Appartment  For Sale  In Purnanagar, Chinchwad","Purnanagar, Chinchwad","37,254/Month",6500000,2,BOTH,"Purnanagar, Chinchwad",BUY,READY,2 BHK,920
2 BHK Flat  In Panaroma Heights For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"18,913/Month",3300000,2,NONE,Pimpri-Chinchwad,BUY,READY,2 BHK,726
1 BHK Flat  In Shivhari Apartment Chinchwad Gaon  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"17,194/Month",3000000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,1 BHK,640
"1 BHK Flat  In Sonigara Classic, Akurdi For Sale  In Akurdi",Akurdi,"22,352/Month",3900000,1,TWO_WHEELER,Akurdi,BUY,READY,1 BHK,651
1 RK Flat  In Sukhnagari Cooperative Society For Sale  In Sukhnagari Co Op Society,Sukhnagari Co Op Society,"13,755/Month",2400000,1,BOTH,Sukhnagari Co Op Society,BUY,READY,1 RK,340
2 BHK Flat  In Aashirwaad Tirupati Tower For Sale  In Chinchwad,Chinchwad,"46,424/Month",8100000,2,BOTH,Chinchwad,BUY,READY,2 BHK,1023
3 BHK Flat  In Shri Priyadarshini Housing Society For Sale  In  Chinchwad, Chinchwad,"42,985/Month",7500000,2,FOUR_WHEELER, Chinchwad,BUY,READY,3 BHK,1150
2 BHK Flat  In Creative Paradise For Sale  In Chinchwad,Chinchwad,"42,985/Month",7500000,2,BOTH,Chinchwad,BUY,READY,2 BHK,850
2 BHK Flat  In Creative Paradise For Sale  In Chinchwad,Chinchwad,"42,985/Month",7500000,2,BOTH,Chinchwad,BUY,READY,2 BHK,850
"2 BHK Flat  In Geeta Prem Sagar For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","45,851/Month",8000000,2,BOTH,"Pimpri-Chinchwad,",BUY,READY,2 BHK,955
2 BHK Flat  In Daya Apartment For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"17,194/Month",3000000,2,TWO_WHEELER,Pimpri Chinchwad,BUY,READY,2 BHK,678
"1 BHK Flat  In Golande Estate, Chinchwad For Sale  In Chinchwad",Chinchwad,"33,242/Month",5800000,1,TWO_WHEELER,Chinchwad,BUY,READY,1 BHK,638
1 BHK Flat  In Sujit Heights For Sale  In Chinchwad,Chinchwad,"22,925/Month",4000000,1,BOTH,Chinchwad,BUY,READY,1 BHK,575
3 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"91,703/Month",16000000,3,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,3 BHK,1350
1 BHK Flat  In Aditya Vastu For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"28,657/Month",5000000,2,BOTH,Pimpri-Chinchwad,BUY,READY,1 BHK,850
2 BHK Flat  For Sale  In Nigdi,Nigdi,"72,216/Month",12599999,2,FOUR_WHEELER,Nigdi,BUY,READY,2 BHK,915
2 BHK Flat  In Surashree Housing Society For Sale  In Sambhaji Nagar Bus Station,Sambhaji Nagar Bus Station,"36,108/Month",6300000,2,BOTH,Sambhaji Nagar Bus Station,BUY,READY,2 BHK,750
2 BHK Flat  In Imperial Height Whalekarwadi For Sale  In Nigdi,Nigdi,"40,120/Month",7000000,2,BOTH,Nigdi,BUY,READY,2 BHK,1000
"2 BHK Flat  In Garv Pavani Pride, Ravet For Sale  In Ravet",Ravet,"34,388/Month",6000000,2,BOTH,Ravet,BUY,READY,2 BHK,960
2 BHK Flat  In Agarwal Garden For Sale  In Nigdi,Nigdi,"32,669/Month",5700000,2,FOUR_WHEELER,Nigdi,BUY,READY,2 BHK,1050
2 BHK Flat  In Aishwaryam Comfort For Sale  In Aishwaryam Comfort,Aishwaryam comfort,"43,559/Month",7600000,2,FOUR_WHEELER,Aishwaryam comfort,BUY,READY,2 BHK,950
2 BHK Flat  In Shnehbandh Apartment For Sale  In Nigdi,Nigdi,"17,767/Month",3100000,1,BOTH,Nigdi,BUY,READY,2 BHK,700
2 BHK Flat  In Sukhwani Udyan For Sale  In Chinchwad,Chinchwad,"37,254/Month",6500000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,967
2 BHK Flat  In Sukhwani Udyan For Sale  In Chinchwad,Chinchwad,"45,851/Month",8000000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1200
"3 BHK Flat  In Sm Aishwaryam Venture, Pune For Sale  In Aishwaryam Ventures",Aishwaryam Ventures,"45,851/Month",8000000,2,BOTH,Aishwaryam Ventures,BUY,READY,3 BHK,1018
2 BHK Flat  In Ashirwad Complex For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"28,084/Month",4900000,1,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,2 BHK,820
1 BHK Flat  In Subhagya Saptarshi Residency Phase Ii For Sale  In Chinchwad,Chinchwad,"28,657/Month",5000000,1,BOTH,Chinchwad,BUY,READY,1 BHK,580
1 BHK Flat  In Renuka Vrindavan For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"26,364/Month",4600000,1,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,1 BHK,610
3 BHK Flat  In Pent House In Sunder Bag Housing Society For Sale  In Chinchwad,Chinchwad,1.03 Lacs/Month,18000000,3,FOUR_WHEELER,Chinchwad,BUY,READY,3 BHK,2563
1 BHK Flat  In Sai Darshan For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"22,925/Month",4000000,1,FOUR_WHEELER,Pimpri-Chinchwad,BUY,READY,1 BHK,770
"1 RK Flat  For Sale  In  Chinchwad,"," Chinchwad,","9,743/Month",1700000,1,BOTH," Chinchwad,",BUY,READY,1 RK,410
"2 BHK Flat  In The Metropolitan, Chinchwad For Sale  In Chinchwad",Chinchwad,"63,045/Month",11000000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1280
1 BHK Flat  In Shree Sai Buildcon Chikhali For Sale  In Mhetrewasti,mhetrewasti,"11,176/Month",1950000,1,BOTH,mhetrewasti,BUY,READY,1 BHK,565
2 BHK Flat  In Shree Vihar For Sale  In Nigdi,Nigdi,"28,657/Month",5000000,1,TWO_WHEELER,Nigdi,BUY,READY,2 BHK,630
2 BHK Flat  In Shree Vihar For Sale  In Nigdi,Nigdi,"28,657/Month",5000000,1,TWO_WHEELER,Nigdi,BUY,READY,2 BHK,630
1 BHK Flat  In Gf Mangle Shilp For Sale  In Chinchwad,Chinchwad,"22,925/Month",4000000,1,BOTH,Chinchwad,BUY,READY,1 BHK,481
2 BHK Flat  In Sanskruti Apartment Chinchwad For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"37,254/Month",6500000,2,NONE,Pimpri-Chinchwad,BUY,READY,2 BHK,842
1 RK Flat  In Sejal Park For Sale  In Chinchwad,Chinchwad,"9,170/Month",1600000,1,BOTH,Chinchwad,BUY,READY,1 RK,265
2 BHK Flat  In Sai Dham Chs For Sale  In Akurdi,Akurdi,"42,412/Month",7400000,2,BOTH,Akurdi,BUY,READY,2 BHK,975
4 BHK House  For Sale  In Pimpri Chinchwad,pimpri Chinchwad,1.09 Lacs/Month,19000000,5,BOTH,pimpri Chinchwad,BUY,READY,4 BHK,2000
3 BHK House  For Sale  In Chinchwad,Chinchwad,"85,971/Month",15000000,2,BOTH,Chinchwad,BUY,READY,3 BHK,2214
2 BHK Flat  In Imperial Heights For Sale  In Imperial Heights Chs,Imperial Heights CHS,"42,985/Month",7499998,2,BOTH,Imperial Heights CHS,BUY,READY,2 BHK,947
2 BHK Flat  In Shyama Wisteria For Sale  In Chikhali,Chikhali,"24,072/Month",4200000,2,BOTH,Chikhali,BUY,READY,2 BHK,690
1 BHK Flat  In Sai Sathe Park For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"24,072/Month",4200000,1,FOUR_WHEELER,Pimpri Chinchwad,BUY,READY,1 BHK,580
4 BHK Flat  In Mayuri Heights For Sale  In Nigdi,Nigdi,"85,971/Month",15000000,3,FOUR_WHEELER,Nigdi,BUY,READY,4 BHK,1650
"1 RK Flat  In Dhanalaxmi Society  For Sale  In Pimpri-chinchwad,","Pimpri-Chinchwad,","11,176/Month",1950000,1,BOTH,"Pimpri-Chinchwad,",BUY,READY,1 RK,487
"3 BHK Flat  In Privia Prestige, Chikhali, Spine Road,chinchwad For Sale  In Chinchwad",Chinchwad,"63,045/Month",11000000,3,BOTH,Chinchwad,BUY,READY,3 BHK,1158
2 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"54,448/Month",9500000,3,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,1350
1 BHK Flat  In Shraddha Apts For Sale  In Nigdi,Nigdi,"26,937/Month",4700000,1,BOTH,Nigdi,BUY,READY,1 BHK,820
2 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"68,777/Month",12000000,1,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,1200
"1 BHK Flat  In Sonigara Opal, Chinchwad For Sale  In Chinchwad",Chinchwad,"37,254/Month",6500000,2,FOUR_WHEELER,Chinchwad,BUY,READY,1 BHK,600
4+ BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,2.29 Lacs/Month,40000000,6,BOTH,Pimpri-Chinchwad,BUY,READY,4+ BHK,4500
1 BHK Flat  In Gajanan Shalini Apartments For Sale  In Gandhi Peth,Gandhi Peth,"16,048/Month",2800000,1,NONE,Gandhi Peth,BUY,READY,1 BHK,530
2 BHK Flat  In Pooja Palace For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"34,388/Month",6000000,1,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,820
2 BHK Flat  In Aishwaryam Comfort For Sale  In Akurdi,Akurdi,"34,388/Month",6000000,2,FOUR_WHEELER,Akurdi,BUY,READY,2 BHK,790
2 BHK Flat  In Babar Heritage  For Sale  In Babar Heritage Society Akurdi,Babar Heritage Society Akurdi,"54,448/Month",9500000,2,BOTH,Babar Heritage Society Akurdi,BUY,READY,2 BHK,1103
"1 BHK Flat  In Madhusudan Chs  For Sale  In Shahunagar, Chinchwad","Shahunagar, Chinchwad","25,745/Month",4492000,1,FOUR_WHEELER,"Shahunagar, Chinchwad",BUY,READY,1 BHK,780
1 RK House  For Sale  In Nigdi,Nigdi,"4,585/Month",800000,1,NONE,Nigdi,BUY,READY,1 RK,300
3 BHK House  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"65,911/Month",11500000,2,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1233
2 BHK Flat  In Premlok Park For Sale  In Chinchwad,Chinchwad,"68,777/Month",12000000,1,BOTH,Chinchwad,BUY,READY,2 BHK,1000
2 BHK Flat  In Premlok Park For Sale  In Chinchwad,Chinchwad,"68,777/Month",12000000,1,BOTH,Chinchwad,BUY,READY,2 BHK,1000
1 BHK Flat  In Morya Yash Plaza For Sale  In Chikhali,Chikhali,"20,060/Month",3500000,1,FOUR_WHEELER,Chikhali,BUY,READY,1 BHK,617
1 RK Flat  In Nisarg Society For Sale  In Shridhar Nagar Gardan,shridhar nagar gardan,"15,474/Month",2700000,1,NONE,shridhar nagar gardan,BUY,READY,1 RK,375
3 BHK Flat  In Priyadarshani Housing Society For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"42,985/Month",7500000,2,BOTH,Pimpri-Chinchwad,BUY,READY,3 BHK,1312
2 BHK Flat  In Tulip Infinity Planet For Sale  In Moshi,Moshi,"31,522/Month",5500000,2,BOTH,Moshi,BUY,READY,2 BHK,858
"2 BHK Flat  In Aradhana, Shahunagar Chinchwad For Sale  In Gurukul Coaching Classes",Gurukul Coaching Classes,"29,230/Month",5100000,2,FOUR_WHEELER,Gurukul Coaching Classes,BUY,READY,2 BHK,825
1 BHK Flat  In Balaji Rise  For Sale  In Chakan,Chakan,"17,194/Month",3000000,1,BOTH,Chakan,BUY,READY,1 BHK,700
2 BHK Flat  In Samruddhi Varsha For Sale  In Chinchwad,Chinchwad,"44,705/Month",7799999,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1100
1 RK House  For Sale  In Akurdi,Akurdi,"11,462/Month",2000000,1,NONE,Akurdi,BUY,READY,1 RK,400
2 BHK Flat  In Balwant Darshan Society For Sale  In Chinchwad,Chinchwad,"44,705/Month",7800000,2,BOTH,Chinchwad,BUY,READY,2 BHK,860
1 BHK Flat  In Nerumpa Housing Society  For Sale  In Akurdi,Akurdi,"20,060/Month",3500000,2,BOTH,Akurdi,BUY,READY,1 BHK,600
2 BHK Flat  In Samruddhi Varsha For Sale  In Chinchwad,Chinchwad,"41,839/Month",7300000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,1038
2 BHK Flat  In Shivshakti Apartment For Sale  In Chinchwad,Chinchwad,"30,376/Month",5300000,2,FOUR_WHEELER,Chinchwad,BUY,READY,2 BHK,950
4 BHK Flat  For Sale  In Nigdi,Nigdi,"91,703/Month",16000000,2,BOTH,Nigdi,BUY,READY,4 BHK,1400
1 BHK Flat  In Maitri Park For Sale  In Akurdi,Akurdi,"20,060/Month",3500000,1,FOUR_WHEELER,Akurdi,BUY,READY,1 BHK,600
2 BHK Flat  In Shrivihar Housing Society  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"57,314/Month",10000000,2,BOTH,Pimpri-Chinchwad,BUY,READY,2 BHK,660
2 BHK Flat  In Goel Ganga Hamlet For Sale  In  Haveli No.5, Haveli No.5,"85,971/Month",15000000,2,BOTH, Haveli No.5,BUY,READY,2 BHK,1200
2 BHK Flat  In Arihant Vastushilp Propcon For Sale  In Nigdi,Nigdi,"42,412/Month",7400000,2,BOTH,Nigdi,BUY,READY,2 BHK,1000
1 BHK Flat  In Gajanan Shalini Apartment  For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"16,048/Month",2800000,1,NONE,Pimpri-Chinchwad,BUY,READY,1 BHK,550
2 BHK In Trupti Co-op Housing Society For Sale  In Pimpri-chinchwad,Pimpri-Chinchwad,"17,194/Month",3000000,1,TWO_WHEELER,Pimpri-Chinchwad,BUY,READY,2 BHK,700
2 BHK Flat  In Empire Square For Sale  In Pimpri Chinchwad,Pimpri Chinchwad,"74,508/Month",13000000,2,BOTH,Pimpri Chinchwad,BUY,READY,2 BHK,1250
1 BHK Flat  In Rohit Residency For Sale  In Hadapsar,Hadapsar,"11,462/Month",2000000,1,TWO_WHEELER,Hadapsar,BUY,READY,1 BHK,604
2 BHK Flat  In Chaitraban Housing Soc For Sale  In Chaitraban Society,Chaitraban Society,"38,400/Month",6700000,2,BOTH,Chaitraban Society,BUY,READY,2 BHK,1080
